mHiggs mTop log10gamma lmin
1.200000e+02 1.700000e+02 -9.828837e+02 -9.699512e-03
1.200000e+02 1.702000e+02 -8.459944e+02 -1.087139e-02
1.200000e+02 1.704000e+02 -7.363243e+02 -1.204715e-02
1.200000e+02 1.706000e+02 -6.464986e+02 -1.322681e-02
1.200000e+02 1.708000e+02 -5.715837e+02 -1.441037e-02
1.200000e+02 1.710000e+02 -5.081552e+02 -1.559782e-02
1.200000e+02 1.712000e+02 -4.537620e+02 -1.678966e-02
1.200000e+02 1.714000e+02 -4.066039e+02 -1.798616e-02
1.200000e+02 1.716000e+02 -3.653291e+02 -1.918665e-02
1.200000e+02 1.718000e+02 -3.289026e+02 -2.039113e-02
1.200000e+02 1.720000e+02 -2.965188e+02 -2.159960e-02
1.200000e+02 1.722000e+02 -2.675410e+02 -2.281207e-02
1.200000e+02 1.724000e+02 -2.414598e+02 -2.402854e-02
1.200000e+02 1.726000e+02 -2.178623e+02 -2.524900e-02
1.200000e+02 1.728000e+02 -1.964105e+02 -2.647346e-02
1.200000e+02 1.730000e+02 -1.768252e+02 -2.770261e-02
1.200000e+02 1.732000e+02 -1.588735e+02 -2.893704e-02
1.200000e+02 1.734000e+02 -1.423595e+02 -3.017557e-02
1.200000e+02 1.736000e+02 -1.271176e+02 -3.141822e-02
1.200000e+02 1.738000e+02 -1.130067e+02 -3.266498e-02
1.200000e+02 1.740000e+02 -9.990573e+01 -3.391586e-02
1.200000e+02 1.742000e+02 -8.771027e+01 -3.517086e-02
1.200000e+02 1.744000e+02 -7.632982e+01 -3.642999e-02
1.200000e+02 1.746000e+02 -6.568558e+01 -3.769545e-02
1.200000e+02 1.748000e+02 -5.570852e+01 -3.896539e-02
1.200000e+02 1.750000e+02 -4.633803e+01 -4.023957e-02
1.200000e+02 1.752000e+02 -3.752057e+01 -4.151800e-02
1.200000e+02 1.754000e+02 -2.920872e+01 -4.280068e-02
1.200000e+02 1.756000e+02 -2.136035e+01 -4.408762e-02
1.200000e+02 1.758000e+02 -1.393786e+01 -4.537891e-02
1.200000e+02 1.760000e+02 -6.907640e+00 -4.667732e-02
1.200000e+02 1.762000e+02 -2.394458e-01 -4.798011e-02
1.200000e+02 1.764000e+02 6.093573e+00 -4.928728e-02
1.200000e+02 1.766000e+02 1.211638e+01 -5.059886e-02
1.200000e+02 1.768000e+02 1.785106e+01 -5.191484e-02
1.200000e+02 1.770000e+02 2.331772e+01 -5.323523e-02
1.200000e+02 1.772000e+02 2.853466e+01 -5.456139e-02
1.200000e+02 1.774000e+02 3.351855e+01 -5.589403e-02
1.200000e+02 1.776000e+02 3.828461e+01 -5.723121e-02
1.200000e+02 1.778000e+02 4.284678e+01 -5.857295e-02
1.200000e+02 1.780000e+02 4.721782e+01 -5.991924e-02
1.200000e+02 1.782000e+02 5.140945e+01 -6.127011e-02
1.200000e+02 1.784000e+02 5.543247e+01 -6.262557e-02
1.200000e+02 1.786000e+02 5.929682e+01 -6.398884e-02
1.200000e+02 1.788000e+02 6.301167e+01 -6.535734e-02
1.200000e+02 1.790000e+02 6.658551e+01 -6.673055e-02
1.200000e+02 1.792000e+02 7.002621e+01 -6.810850e-02
1.200000e+02 1.794000e+02 7.334103e+01 -6.949120e-02
1.200000e+02 1.796000e+02 7.653676e+01 -7.087866e-02
1.200000e+02 1.798000e+02 7.961968e+01 -7.227206e-02
1.200000e+02 1.800000e+02 8.259565e+01 -7.367324e-02
1.202000e+02 1.700000e+02 -1.062588e+03 -9.129313e-03
1.202000e+02 1.702000e+02 -9.080206e+02 -1.030443e-02
1.202000e+02 1.704000e+02 -7.858588e+02 -1.148344e-02
1.202000e+02 1.706000e+02 -6.868901e+02 -1.266635e-02
1.202000e+02 1.708000e+02 -6.050896e+02 -1.385315e-02
1.202000e+02 1.710000e+02 -5.363514e+02 -1.504384e-02
1.202000e+02 1.712000e+02 -4.777813e+02 -1.623842e-02
1.202000e+02 1.714000e+02 -4.272809e+02 -1.743690e-02
1.202000e+02 1.716000e+02 -3.832920e+02 -1.863933e-02
1.202000e+02 1.718000e+02 -3.446331e+02 -1.984699e-02
1.202000e+02 1.720000e+02 -3.103921e+02 -2.105865e-02
1.202000e+02 1.722000e+02 -2.798540e+02 -2.227429e-02
1.202000e+02 1.724000e+02 -2.524498e+02 -2.349393e-02
1.202000e+02 1.726000e+02 -2.277215e+02 -2.471757e-02
1.202000e+02 1.728000e+02 -2.052962e+02 -2.594521e-02
1.202000e+02 1.730000e+02 -1.848672e+02 -2.717685e-02
1.202000e+02 1.732000e+02 -1.661799e+02 -2.841249e-02
1.202000e+02 1.734000e+02 -1.490209e+02 -2.965328e-02
1.202000e+02 1.736000e+02 -1.332108e+02 -3.089904e-02
1.202000e+02 1.738000e+02 -1.185967e+02 -3.214891e-02
1.202000e+02 1.740000e+02 -1.050484e+02 -3.340289e-02
1.202000e+02 1.742000e+02 -9.245351e+01 -3.466100e-02
1.202000e+02 1.744000e+02 -8.071516e+01 -3.592323e-02
1.202000e+02 1.746000e+02 -6.974906e+01 -3.718959e-02
1.202000e+02 1.748000e+02 -5.948164e+01 -3.846093e-02
1.202000e+02 1.750000e+02 -4.984840e+01 -3.973816e-02
1.202000e+02 1.752000e+02 -4.079247e+01 -4.101963e-02
1.202000e+02 1.754000e+02 -3.226363e+01 -4.230536e-02
1.202000e+02 1.756000e+02 -2.421729e+01 -4.359534e-02
1.202000e+02 1.758000e+02 -1.661377e+01 -4.488959e-02
1.202000e+02 1.760000e+02 -9.417621e+00 -4.618810e-02
1.202000e+02 1.762000e+02 -2.597008e+00 -4.749269e-02
1.202000e+02 1.764000e+02 3.876341e+00 -4.880285e-02
1.202000e+02 1.766000e+02 1.002849e+01 -5.011740e-02
1.202000e+02 1.768000e+02 1.588268e+01 -5.143636e-02
1.202000e+02 1.770000e+02 2.145993e+01 -5.275973e-02
1.202000e+02 1.772000e+02 2.677939e+01 -5.408752e-02
1.202000e+02 1.774000e+02 3.185847e+01 -5.541996e-02
1.202000e+02 1.776000e+02 3.671305e+01 -5.676006e-02
1.202000e+02 1.778000e+02 4.135764e+01 -5.810471e-02
1.202000e+02 1.780000e+02 4.580553e+01 -5.945392e-02
1.202000e+02 1.782000e+02 5.006893e+01 -6.080770e-02
1.202000e+02 1.784000e+02 5.415905e+01 -6.216607e-02
1.202000e+02 1.786000e+02 5.808619e+01 -6.352903e-02
1.202000e+02 1.788000e+02 6.185990e+01 -6.489884e-02
1.202000e+02 1.790000e+02 6.548896e+01 -6.627491e-02
1.202000e+02 1.792000e+02 6.898151e+01 -6.765572e-02
1.202000e+02 1.794000e+02 7.234509e+01 -6.904127e-02
1.202000e+02 1.796000e+02 7.558669e+01 -7.043158e-02
1.202000e+02 1.798000e+02 7.871283e+01 -7.182666e-02
1.202000e+02 1.800000e+02 8.172955e+01 -7.322678e-02
1.204000e+02 1.700000e+02 -1.153905e+03 -8.555780e-03
1.204000e+02 1.702000e+02 -9.779482e+02 -9.734168e-03
1.204000e+02 1.704000e+02 -8.409951e+02 -1.091645e-02
1.204000e+02 1.706000e+02 -7.313866e+02 -1.210263e-02
