mHiggs mTop log10gamma lmin
1.200000e+02 1.700000e+02 -7.194120e+02 -1.224770e-02
1.200000e+02 1.702000e+02 -6.320773e+02 -1.343367e-02
1.200000e+02 1.704000e+02 -5.590935e+02 -1.462358e-02
1.200000e+02 1.706000e+02 -4.971959e+02 -1.581743e-02
1.200000e+02 1.708000e+02 -4.440398e+02 -1.701522e-02
1.200000e+02 1.710000e+02 -3.978979e+02 -1.821695e-02
1.200000e+02 1.712000e+02 -3.574697e+02 -1.942263e-02
1.200000e+02 1.714000e+02 -3.217573e+02 -2.063225e-02
1.200000e+02 1.716000e+02 -2.899826e+02 -2.184632e-02
1.200000e+02 1.718000e+02 -2.615292e+02 -2.306543e-02
1.200000e+02 1.720000e+02 -2.359032e+02 -2.428859e-02
1.200000e+02 1.722000e+02 -2.127040e+02 -2.551580e-02
1.200000e+02 1.724000e+02 -1.916031e+02 -2.674705e-02
1.200000e+02 1.726000e+02 -1.723286e+02 -2.798236e-02
1.200000e+02 1.728000e+02 -1.546541e+02 -2.922172e-02
1.200000e+02 1.730000e+02 -1.383883e+02 -3.046515e-02
1.200000e+02 1.732000e+02 -1.233698e+02 -3.171325e-02
1.200000e+02 1.734000e+02 -1.094609e+02 -3.296700e-02
1.200000e+02 1.736000e+02 -9.654309e+01 -3.422493e-02
1.200000e+02 1.738000e+02 -8.451450e+01 -3.548702e-02
1.200000e+02 1.740000e+02 -7.328655e+01 -3.675330e-02
1.200000e+02 1.742000e+02 -6.278213e+01 -3.802377e-02
1.200000e+02 1.744000e+02 -5.293363e+01 -3.929842e-02
1.200000e+02 1.746000e+02 -4.368170e+01 -4.057783e-02
1.200000e+02 1.748000e+02 -3.497384e+01 -4.186357e-02
1.200000e+02 1.750000e+02 -2.676357e+01 -4.315362e-02
1.200000e+02 1.752000e+02 -1.900957e+01 -4.444798e-02
1.200000e+02 1.754000e+02 -1.167494e+01 -4.574667e-02
1.200000e+02 1.756000e+02 -4.726682e+00 -4.704968e-02
1.200000e+02 1.758000e+02 1.864743e+00 -4.835703e-02
1.200000e+02 1.760000e+02 8.126092e+00 -4.967042e-02
1.200000e+02 1.762000e+02 1.408161e+01 -5.098963e-02
1.200000e+02 1.764000e+02 1.975304e+01 -5.231331e-02
1.200000e+02 1.766000e+02 2.516016e+01 -5.364146e-02
1.200000e+02 1.768000e+02 3.032098e+01 -5.497410e-02
1.200000e+02 1.770000e+02 3.525189e+01 -5.631122e-02
1.200000e+02 1.772000e+02 3.996788e+01 -5.765299e-02
1.200000e+02 1.774000e+02 4.448263e+01 -5.900265e-02
1.200000e+02 1.776000e+02 4.880874e+01 -6.035694e-02
1.200000e+02 1.778000e+02 5.295774e+01 -6.171586e-02
1.200000e+02 1.780000e+02 5.694026e+01 -6.307943e-02
1.200000e+02 1.782000e+02 6.076609e+01 -6.444766e-02
1.200000e+02 1.784000e+02 6.444427e+01 -6.582055e-02
1.200000e+02 1.786000e+02 6.798316e+01 -6.720031e-02
1.200000e+02 1.788000e+02 7.139051e+01 -6.858656e-02
1.200000e+02 1.790000e+02 7.467350e+01 -6.997761e-02
1.200000e+02 1.792000e+02 7.783880e+01 -7.137349e-02
1.200000e+02 1.794000e+02 8.089262e+01 -7.277421e-02
1.200000e+02 1.796000e+02 8.384072e+01 -7.417979e-02
1.200000e+02 1.798000e+02 8.668849e+01 -7.559027e-02
1.200000e+02 1.800000e+02 8.944097e+01 -7.700988e-02
1.202000e+02 1.700000e+02 -7.672535e+02 -1.168261e-02
1.202000e+02 1.702000e+02 -6.711765e+02 -1.287184e-02
1.202000e+02 1.704000e+02 -5.915884e+02 -1.406500e-02
1.202000e+02 1.706000e+02 -5.245848e+02 -1.526211e-02
1.202000e+02 1.708000e+02 -4.674031e+02 -1.646316e-02
1.202000e+02 1.710000e+02 -4.180340e+02 -1.766814e-02
1.202000e+02 1.712000e+02 -3.749810e+02 -1.887707e-02
1.202000e+02 1.714000e+02 -3.371065e+02 -2.008994e-02
1.202000e+02 1.716000e+02 -3.035310e+02 -2.130676e-02
1.202000e+02 1.718000e+02 -2.735626e+02 -2.252752e-02
1.202000e+02 1.720000e+02 -2.466509e+02 -2.375274e-02
1.202000e+02 1.722000e+02 -2.223517e+02 -2.498313e-02
1.202000e+02 1.724000e+02 -2.003030e+02 -2.621757e-02
1.202000e+02 1.726000e+02 -1.802065e+02 -2.745607e-02
1.202000e+02 1.728000e+02 -1.618147e+02 -2.869862e-02
1.202000e+02 1.730000e+02 -1.449196e+02 -2.994522e-02
1.202000e+02 1.732000e+02 -1.293463e+02 -3.119589e-02
1.202000e+02 1.734000e+02 -1.149458e+02 -3.245062e-02
1.202000e+02 1.736000e+02 -1.015907e+02 -3.371081e-02
1.202000e+02 1.738000e+02 -8.917153e+01 -3.497603e-02
1.202000e+02 1.740000e+02 -7.759341e+01 -3.624542e-02
1.202000e+02 1.742000e+02 -6.677393e+01 -3.751900e-02
1.202000e+02 1.744000e+02 -5.664110e+01 -3.879677e-02
1.202000e+02 1.746000e+02 -4.713176e+01 -4.007873e-02
1.202000e+02 1.748000e+02 -3.819020e+01 -4.136488e-02
1.202000e+02 1.750000e+02 -2.976721e+01 -4.265723e-02
1.202000e+02 1.752000e+02 -2.181906e+01 -4.395465e-02
1.202000e+02 1.754000e+02 -1.430685e+01 -4.525638e-02
1.202000e+02 1.756000e+02 -7.195781e+00 -4.656244e-02
1.202000e+02 1.758000e+02 -4.546009e-01 -4.787284e-02
1.202000e+02 1.760000e+02 5.944377e+00 -4.918758e-02
1.202000e+02 1.762000e+02 1.202689e+01 -5.050718e-02
1.202000e+02 1.764000e+02 1.781570e+01 -5.183385e-02
1.202000e+02 1.766000e+02 2.333148e+01 -5.316499e-02
1.202000e+02 1.768000e+02 2.859303e+01 -5.450060e-02
1.202000e+02 1.770000e+02 3.361750e+01 -5.584071e-02
1.202000e+02 1.772000e+02 3.842048e+01 -5.718531e-02
1.202000e+02 1.774000e+02 4.301628e+01 -5.853443e-02
1.202000e+02 1.776000e+02 4.741796e+01 -5.989070e-02
1.202000e+02 1.778000e+02 5.163754e+01 -6.125254e-02
1.202000e+02 1.780000e+02 5.568605e+01 -6.261904e-02
1.202000e+02 1.782000e+02 5.957366e+01 -6.399018e-02
1.202000e+02 1.784000e+02 6.330974e+01 -6.536600e-02
1.202000e+02 1.786000e+02 6.690297e+01 -6.674649e-02
1.202000e+02 1.788000e+02 7.036135e+01 -6.813291e-02
1.202000e+02 1.790000e+02 7.369233e+01 -6.952683e-02
1.202000e+02 1.792000e+02 7.690279e+01 -7.092557e-02
1.202000e+02 1.794000e+02 7.999915e+01 -7.232915e-02
1.202000e+02 1.796000e+02 8.298737e+01 -7.373758e-02
1.202000e+02 1.798000e+02 8.587301e+01 -7.515088e-02
1.202000e+02 1.800000e+02 8.866125e+01 -7.656906e-02
1.204000e+02 1.700000e+02 -8.204134e+02 -1.111640e-02
1.204000e+02 1.702000e+02 -7.141875e+02 -1.230804e-02
1.204000e+02 1.704000e+02 -6.270376e+02 -1.350352e-02
1.204000e+02 1.706000e+02 -5.542548e+02 -1.470357e-02
1.204000e+02 1.708000e+02 -4.925611e+02 -1.590789e-02
1.204000e+02 1.710000e+02 -4.396052e+02 -1.711616e-02
1.204000e+02 1.712000e+02 -3.936558e+02 -1.832837e-02
1.204000e+02 1.714000e+02 -3.534109e+02 -1.954451e-02
1.204000e+02 1.716000e+02 -3.178720e+02 -2.076460e-02
1.204000e+02 1.718000e+02 -2.862602e+02 -2.198863e-02
1.204000e+02 1.720000e+02 -2.579599e+02 -2.321661e-02
1.204000e+02 1.722000e+02 -2.324777e+02 -2.444852e-02
1.204000e+02 1.724000e+02 -2.094132e+02 -2.568512e-02
1.204000e+02 1.726000e+02 -1.884386e+02 -2.692682e-02
1.204000e+02 1.728000e+02 -1.692829e+02 -2.817257e-02
1.204000e+02 1.730000e+02 -1.517195e+02 -2.942238e-02
1.204000e+02 1.732000e+02 -1.355584e+02 -3.067625e-02
1.204000e+02 1.734000e+02 -1.206384e+02 -3.193417e-02
1.204000e+02 1.736000e+02 -1.068222e+02 -3.319617e-02
1.204000e+02 1.738000e+02 -9.399191e+01 -3.446223e-02
1.204000e+02 1.740000e+02 -8.204594e+01 -3.573476e-02
1.204000e+02 1.742000e+02 -7.089610e+01 -3.701148e-02
1.204000e+02 1.744000e+02 -6.046562e+01 -3.829238e-02
1.204000e+02 1.746000e+02 -5.068719e+01 -3.957747e-02
1.204000e+02 1.748000e+02 -4.150170e+01 -4.086675e-02
1.204000e+02 1.750000e+02 -3.285697e+01 -4.216024e-02
1.204000e+02 1.752000e+02 -2.470673e+01 -4.345867e-02
1.204000e+02 1.754000e+02 -1.700986e+01 -4.476347e-02
1.204000e+02 1.756000e+02 -9.729705e+00 -4.607261e-02
1.204000e+02 1.758000e+02 -2.833335e+00 -4.738607e-02
1.204000e+02 1.760000e+02 3.708440e+00 -4.870387e-02
1.204000e+02 1.762000e+02 9.922459e+00 -5.002601e-02
1.204000e+02 1.764000e+02 1.583268e+01 -5.135252e-02
1.204000e+02 1.766000e+02 2.146075e+01 -5.268602e-02
1.204000e+02 1.768000e+02 2.682633e+01 -5.402465e-02
1.204000e+02 1.770000e+02 3.194732e+01 -5.536775e-02
1.204000e+02 1.772000e+02 3.684001e+01 -5.671535e-02
1.204000e+02 1.774000e+02 4.151929e+01 -5.806746e-02
1.204000e+02 1.776000e+02 4.599878e+01 -5.942408e-02
1.204000e+02 1.778000e+02 5.029097e+01 -6.078687e-02
1.204000e+02 1.780000e+02 5.440734e+01 -6.215630e-02
1.204000e+02 1.782000e+02 5.835843e+01 -6.353039e-02
1.204000e+02 1.784000e+02 6.215398e+01 -6.490914e-02
1.204000e+02 1.786000e+02 6.580296e+01 -6.629256e-02
1.204000e+02 1.788000e+02 6.931370e+01 -6.768068e-02
1.204000e+02 1.790000e+02 7.269387e+01 -6.907381e-02
1.204000e+02 1.792000e+02 7.595061e+01 -7.047543e-02
1.204000e+02 1.794000e+02 7.909054e+01 -7.188189e-02
1.204000e+02 1.796000e+02 8.211983e+01 -7.329319e-02
1.204000e+02 1.798000e+02 8.504421e+01 -7.470936e-02
