mHiggs mTop log10gamma lmin
1.200000e+02 1.700000e+02 -1.434108e+03 -7.192993e-03
1.200000e+02 1.702000e+02 -1.190474e+03 -8.351008e-03
1.200000e+02 1.704000e+02 -1.008130e+03 -9.512874e-03
1.200000e+02 1.706000e+02 -8.665656e+02 -1.067928e-02
1.200000e+02 1.708000e+02 -7.534941e+02 -1.184967e-02
1.200000e+02 1.710000e+02 -6.611103e+02 -1.302401e-02
1.200000e+02 1.712000e+02 -5.842184e+02 -1.420229e-02
1.200000e+02 1.714000e+02 -5.192271e+02 -1.538451e-02
1.200000e+02 1.716000e+02 -4.635745e+02 -1.657068e-02
1.200000e+02 1.718000e+02 -4.153845e+02 -1.776079e-02
1.200000e+02 1.720000e+02 -3.732517e+02 -1.895484e-02
1.200000e+02 1.722000e+02 -3.361028e+02 -2.015283e-02
1.200000e+02 1.724000e+02 -3.031038e+02 -2.135477e-02
1.200000e+02 1.726000e+02 -2.735970e+02 -2.256065e-02
1.200000e+02 1.728000e+02 -2.470569e+02 -2.377170e-02
1.200000e+02 1.730000e+02 -2.230580e+02 -2.498719e-02
1.200000e+02 1.732000e+02 -2.012528e+02 -2.620674e-02
1.200000e+02 1.734000e+02 -1.813543e+02 -2.743033e-02
1.200000e+02 1.736000e+02 -1.631235e+02 -2.865798e-02
1.200000e+02 1.738000e+02 -1.463595e+02 -2.988968e-02
1.200000e+02 1.740000e+02 -1.308927e+02 -3.112545e-02
1.200000e+02 1.742000e+02 -1.165784e+02 -3.236527e-02
1.200000e+02 1.744000e+02 -1.032928e+02 -3.361077e-02
1.200000e+02 1.746000e+02 -9.092924e+01 -3.486103e-02
1.200000e+02 1.748000e+02 -7.939512e+01 -3.611547e-02
1.200000e+02 1.750000e+02 -6.860997e+01 -3.737409e-02
1.200000e+02 1.752000e+02 -5.850333e+01 -3.863689e-02
1.200000e+02 1.754000e+02 -4.901335e+01 -3.990388e-02
1.200000e+02 1.756000e+02 -4.008539e+01 -4.117506e-02
1.200000e+02 1.758000e+02 -3.167114e+01 -4.245202e-02
1.200000e+02 1.760000e+02 -2.372763e+01 -4.373440e-02
1.200000e+02 1.762000e+02 -1.621656e+01 -4.502108e-02
1.200000e+02 1.764000e+02 -9.103698e+00 -4.631208e-02
1.200000e+02 1.766000e+02 -2.358252e+00 -4.760740e-02
1.200000e+02 1.768000e+02 4.047175e+00 -4.890706e-02
1.200000e+02 1.770000e+02 1.013785e+01 -5.021106e-02
1.200000e+02 1.772000e+02 1.593630e+01 -5.152199e-02
1.200000e+02 1.774000e+02 2.146299e+01 -5.283794e-02
1.200000e+02 1.776000e+02 2.673652e+01 -5.415836e-02
1.200000e+02 1.778000e+02 3.177383e+01 -5.548325e-02
1.200000e+02 1.780000e+02 3.659039e+01 -5.681263e-02
1.200000e+02 1.782000e+02 4.120035e+01 -5.814650e-02
1.200000e+02 1.784000e+02 4.561669e+01 -5.948555e-02
1.200000e+02 1.786000e+02 4.985131e+01 -6.083203e-02
1.200000e+02 1.788000e+02 5.391516e+01 -6.218315e-02
1.200000e+02 1.790000e+02 5.781834e+01 -6.353890e-02
