mu	g3	g2	g1	yt	yb	yc	ys	yu	yd	ytau	ymu	ye	lambda
2.4000000e+02	1.1415977e+00	6.4598870e-01	4.6346533e-01	9.1643748e-01	1.5237138e-02	3.4113912e-03	2.9735122e-04	6.7754251e-06	1.4557821e-05	1.0100453e-02	5.9712449e-04	2.8878922e-06	1.1994659e-01
3.8037437e+02	1.1115612e+00	6.4360077e-01	4.6468311e-01	8.9406559e-01	1.4758519e-02	3.3155928e-03	2.8911012e-04	6.5851579e-06	1.4154351e-05	1.0134479e-02	5.9913580e-04	2.8976195e-06	1.1176310e-01
6.0285274e+02	1.0838183e+00	6.4123514e-01	4.6590949e-01	8.7335742e-01	1.4318548e-02	3.2271885e-03	2.8150825e-04	6.4095762e-06	1.3782177e-05	1.0165008e-02	6.0094033e-04	2.9063468e-06	1.0426142e-01
9.5545721e+02	1.0580885e+00	6.3889187e-01	4.6714469e-01	8.5410344e-01	1.3912222e-02	3.1452386e-03	2.7446430e-04	6.2468137e-06	1.3437317e-05	1.0192369e-02	6.0255760e-04	2.9141685e-06	9.7354160e-02
1.5142976e+03	1.0341374e+00	6.3657092e-01	4.6838889e-01	8.3612984e-01	1.3535403e-02	3.0689639e-03	2.6791087e-04	6.0953230e-06	1.3116473e-05	1.0216846e-02	6.0400438e-04	2.9211656e-06	9.0969507e-02
2.4000000e+03	1.0117672e+00	6.3427224e-01	4.6964230e-01	8.1929102e-01	1.3184635e-02	2.9977125e-03	2.6179156e-04	5.9538091e-06	1.2816882e-05	1.0238686e-02	6.0529523e-04	2.9274086e-06	8.5047772e-02
3.8037437e+03	9.9080996e-01	6.3199570e-01	4.7090510e-01	8.0346392e-01	1.2857008e-02	2.9309337e-03	2.5605874e-04	5.8211782e-06	1.2536213e-05	1.0258102e-02	6.0644283e-04	2.9329587e-06	7.9538861e-02
6.0285274e+03	9.7112167e-01	6.2974115e-01	4.7217747e-01	7.8854370e-01	1.2550048e-02	2.8681586e-03	2.5067185e-04	5.6964993e-06	1.2272481e-05	1.0275285e-02	6.0745835e-04	2.9378701e-06	7.4400349e-02
9.5545721e+03	9.5257825e-01	6.2750843e-01	4.7345959e-01	7.7444038e-01	1.2261640e-02	2.8089853e-03	2.4559614e-04	5.5789741e-06	1.2023983e-05	1.0290400e-02	6.0835167e-04	2.9421905e-06	6.9596010e-02
1.5142976e+04	9.3507204e-01	6.2529735e-01	4.7475164e-01	7.6107624e-01	1.1989960e-02	2.7530670e-03	2.4080161e-04	5.4679134e-06	1.1789250e-05	1.0303597e-02	6.0913154e-04	2.9459622e-06	6.5094672e-02
2.4000000e+04	9.1850910e-01	6.2310768e-01	4.7605378e-01	7.4838373e-01	1.1733430e-02	2.7001021e-03	2.3626219e-04	5.3627188e-06	1.1567008e-05	1.0315007e-02	6.0980581e-04	2.9492232e-06	6.0869329e-02
3.8037437e+04	9.0280707e-01	6.2093920e-01	4.7736620e-01	7.3630379e-01	1.1490672e-02	2.6498277e-03	2.3195514e-04	5.2628677e-06	1.1356143e-05	1.0324750e-02	6.1038151e-04	2.9520075e-06	5.6896427e-02
6.0285274e+04	8.8789334e-01	6.1879170e-01	4.7868906e-01	7.2478454e-01	1.1260478e-02	2.6020126e-03	2.2786048e-04	5.1679013e-06	1.1155675e-05	1.0332932e-02	6.1086497e-04	2.9543457e-06	5.3155302e-02
9.5545721e+04	8.7370364e-01	6.1666491e-01	4.8002254e-01	7.1378017e-01	1.1041786e-02	2.5564532e-03	2.2396060e-04	5.0774148e-06	1.0964744e-05	1.0339652e-02	6.1126192e-04	2.9562654e-06	4.9627727e-02
1.5142976e+05	8.6018085e-01	6.1455860e-01	4.8136680e-01	7.0325006e-01	1.0833655e-02	2.5129688e-03	2.2023989e-04	4.9910495e-06	1.0782584e-05	1.0344996e-02	6.1157756e-04	2.9577920e-06	4.6297534e-02
