mu	g3	g2	g1	yt	yb	yc	ys	yu	yd	ytau	ymu	ye	lambda
2.4000000e+02	1.1415981e+00	6.4598446e-01	4.6346448e-01	9.1651131e-01	1.5237141e-02	3.4113928e-03	2.9735136e-04	6.7754282e-06	1.4557828e-05	1.0100458e-02	5.9712477e-04	2.8878935e-06	1.1993831e-01
3.8037437e+02	1.1115617e+00	6.4359114e-01	4.6468117e-01	8.9422684e-01	1.4758537e-02	3.3156009e-03	2.8911083e-04	6.5851739e-06	1.4154386e-05	1.0134505e-02	5.9913729e-04	2.8976267e-06	1.1174073e-01
6.0285274e+02	1.0838186e+00	6.4122067e-01	4.6590655e-01	8.7359123e-01	1.4318590e-02	3.2272069e-03	2.8150985e-04	6.4096127e-06	1.3782255e-05	1.0165067e-02	6.0094380e-04	2.9063636e-06	1.0422283e-01
9.5545721e+02	1.0580884e+00	6.3887303e-01	4.6714082e-01	8.5439805e-01	1.3912293e-02	3.1452699e-03	2.7446703e-04	6.2468759e-06	1.3437451e-05	1.0192472e-02	6.0256367e-04	2.9141978e-06	9.7297883e-02
1.5142976e+03	1.0341368e+00	6.3654813e-01	4.6838417e-01	8.3647583e-01	1.3535507e-02	3.0690101e-03	2.6791490e-04	6.0954147e-06	1.3116670e-05	1.0217001e-02	6.0401354e-04	2.9212099e-06	9.0894520e-02
2.4000000e+03	1.0117661e+00	6.3424585e-01	4.6963678e-01	8.1968076e-01	1.3184776e-02	2.9977749e-03	2.6179700e-04	5.9539330e-06	1.2817148e-05	1.0238900e-02	6.0530788e-04	2.9274697e-06	8.4953408e-02
3.8037437e+03	9.9080831e-01	6.3196603e-01	4.7089884e-01	8.0389117e-01	1.2857187e-02	2.9310131e-03	2.5606567e-04	5.8213360e-06	1.2536552e-05	1.0258381e-02	6.0645929e-04	2.9330383e-06	7.9424714e-02
6.0285274e+03	9.7111950e-01	6.2970850e-01	4.7217051e-01	7.8900330e-01	1.2550268e-02	2.8682556e-03	2.5068032e-04	5.6966920e-06	1.2272895e-05	1.0275632e-02	6.0747888e-04	2.9379694e-06	7.4266215e-02
9.5545721e+03	9.5257558e-01	6.2747304e-01	4.7345197e-01	7.7492804e-01	1.2261900e-02	2.8091002e-03	2.4560617e-04	5.5792022e-06	1.2024474e-05	1.0290820e-02	6.0837647e-04	2.9423105e-06	6.9441837e-02
1.5142976e+04	9.3506890e-01	6.2525943e-01	4.7474338e-01	7.6158838e-01	1.1990262e-02	2.7531998e-03	2.4081321e-04	5.4681772e-06	1.1789818e-05	1.0304091e-02	6.0916079e-04	2.9461037e-06	6.4920529e-02
2.4000000e+04	9.1850553e-01	6.2306744e-01	4.7604493e-01	7.4891731e-01	1.1733772e-02	2.7002529e-03	2.3627536e-04	5.3630183e-06	1.1567653e-05	1.0315579e-02	6.0983965e-04	2.9493869e-06	6.0675374e-02
3.8037437e+04	9.0280310e-01	6.2089684e-01	4.7735678e-01	7.3685623e-01	1.1491054e-02	2.6499962e-03	2.3196987e-04	5.2632025e-06	1.1356864e-05	1.0325401e-02	6.1042003e-04	2.9521938e-06	5.6682893e-02
6.0285274e+04	8.8788902e-01	6.1874736e-01	4.7867909e-01	7.2535364e-01	1.1260900e-02	2.6021987e-03	2.2787675e-04	5.1682709e-06	1.1156472e-05	1.0333665e-02	6.1090826e-04	2.9545550e-06	5.2922478e-02
9.5545721e+04	8.7369899e-01	6.1661875e-01	4.8001204e-01	7.1436404e-01	1.1042247e-02	2.5566565e-03	2.2397838e-04	5.0778186e-06	1.0965614e-05	1.0340466e-02	6.1131004e-04	2.9564982e-06	4.9375946e-02
